case,claim_id,claim_number,id,recordid,number,case_id,case_number,claim_number,id,recordid,claim,collection,id,number,portfolio,recordid,case,collection_name,id,recordid,number
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Ruperto Hidalgo - Outside Case Check",96,366692,COLL_24_000178
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,adminak,68,366035,COLL_24_000105
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,test,50,357116,COLL_23_000087
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,4,46,354345,COLL_23_000081
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,3,45,354341,COLL_23_000080
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Kolekcja 1",40,352579,COLL_23_000075
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,Jessica,39,291375,COLL_23_000074
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",37,291368,COLL_23_000072
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",35,291364,COLL_23_000070
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",33,291357,COLL_23_000068
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",32,291354,COLL_23_000067
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Angel Arce",28,291326,COLL_23_000063
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Angel Arce",27,291323,COLL_23_000062
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,2,25,246973,COLL_23_000060
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,PDC23-000066,18,246102,COLL_23_000048
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,1,15,240329,COLL_23_000044
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,2,14,227017,COLL_23_000043
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,1,13,227014,COLL_23_000042
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"collection from PROD 1",11,170804,COLL_22_000040
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,ClaimTest1,8,166454,COLL_22_000037
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105012,,FL21-0128957,41314,86902,NULL,NULL,NULL,NULL,NULL,NULL,,"Claim ‌15616",5,156527,COLL_22_000034
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Ruperto Hidalgo - Outside Case Check",96,366692,COLL_24_000178
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,adminak,68,366035,COLL_24_000105
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,test,50,357116,COLL_23_000087
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,4,46,354345,COLL_23_000081
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,3,45,354341,COLL_23_000080
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Kolekcja 1",40,352579,COLL_23_000075
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,Jessica,39,291375,COLL_23_000074
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",37,291368,COLL_23_000072
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",35,291364,COLL_23_000070
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",33,291357,COLL_23_000068
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Olga Ramida and Aysel Uria Alvarez",32,291354,COLL_23_000067
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Angel Arce",28,291326,COLL_23_000063
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,"Angel Arce",27,291323,COLL_23_000062
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,2,25,246973,COLL_23_000060
,1107,2018FL138641,4,101505,CL_2022/04/009072,PDC21-105016,,OIC20201100372,41310,86898,NULL,NULL,NULL,NULL,NULL,NULL,,PDC23-000066,18,246102,COLL_23_000048
